date,iso_code,country,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website,,,,,,,date
2021-01-03,CHL,Chile,,,,,51,,,,3,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false,,,,,,,2021-01-03
2021-01-04,CHL,Chile,9051,9051,,,51,0.05,0.05,,3,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false,,,,,,,2021-01-04
2021-01-05,CHL,Chile,10494,10494,,1443,250,0.05,0.05,,13,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false,,,,,,,2021-01-05
2021-01-06,CHL,Chile,10699,10699,,205,272,0.06,0.06,,14,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false,,,,,,,2021-01-06
2021-01-07,CHL,Chile,,,,,344,,,,18,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false,,,,,,,2021-01-07
2021-01-08,CHL,Chile,,,,,417,,,,22,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false,,,,,,,2021-01-08
2021-01-09,CHL,Chile,,,,,489,,,,26,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false,,,,,,,2021-01-09
2021-01-10,CHL,Chile,,,,,562,,,,29,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false,,,,,,,2021-01-10
2021-01-11,CHL,Chile,,,,,635,,,,33,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false,,,,,,,2021-01-11
2021-01-12,CHL,Chile,,,,,508,,,,27,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false,,,,,,,2021-01-12
2021-01-13,CHL,Chile,14612,11743,2869,,559,0.08,0.06,0.02,29,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false,,,,,,,2021-01-13
2021-01-14,CHL,Chile,18526,12787,5739,3914,1038,0.1,0.07,0.03,54,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false,,,,,,,2021-01-14
2021-01-15,CHL,Chile,21876,13755,8121,3350,1437,0.11,0.07,0.04,75,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false,,,,,,,2021-01-15
2021-01-16,CHL,Chile,21937,13766,8171,61,1366,0.11,0.07,0.04,71,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false,,,,,,,2021-01-16
2021-01-17,CHL,Chile,21972,13781,8191,35,1291,0.11,0.07,0.04,68,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false,,,,,,,2021-01-17
2021-01-18,CHL,Chile,32385,24025,8360,10413,2699,0.17,0.13,0.04,141,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false,,,,,,,2021-01-18
2021-01-19,CHL,Chile,50924,42564,8360,18539,5267,0.27,0.22,0.04,276,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false,,,,,,,2021-01-19
2021-01-20,CHL,Chile,54036,45676,8360,3112,5632,0.28,0.24,0.04,295,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false,,,,,,,2021-01-20
2021-01-21,CHL,Chile,62822,54458,8364,8786,6328,0.33,0.28,0.04,331,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false,,,,,,,2021-01-21
2021-01-22,CHL,Chile,63047,54683,8364,225,5882,0.33,0.29,0.04,308,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false,,,,,,,2021-01-22
2021-01-23,CHL,Chile,63939,55575,8364,892,6000,0.33,0.29,0.04,314,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false,,,,,,,2021-01-23
2021-01-24,CHL,Chile,,,,,6020,,,,315,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false,,,,,,,2021-01-24
2021-01-25,CHL,Chile,64286,55798,8488,,4557,0.34,0.29,0.04,238,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false,,,,,,,2021-01-25
2021-01-26,CHL,Chile,66569,56551,10018,2283,2235,0.35,0.3,0.05,117,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false,,,,,,,2021-01-26
2021-01-27,CHL,Chile,67096,56764,10332,527,1866,0.35,0.3,0.05,98,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false,,,,,,,2021-01-27
2021-01-28,CHL,Chile,67111,56764,10347,15,613,0.35,0.3,0.05,32,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false,,,,,,,2021-01-28
2021-01-29,CHL,Chile,67115,56768,10347,4,581,0.35,0.3,0.05,30,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false,,,,,,,2021-01-29
2021-01-30,CHL,Chile,67123,56771,10352,8,455,0.35,0.3,0.05,24,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false,,,,,,,2021-01-30
2021-01-31,CHL,Chile,,,,,919,,,,48,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false,,,,,,,2021-01-31
2021-02-01,CHL,Chile,,,,,1384,,,,72,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false,,,,,,,2021-02-01
2021-02-02,CHL,Chile,77399,67002,10397,,1547,0.4,0.35,0.05,81,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false,,,,,,,2021-02-02
2021-02-03,CHL,Chile,138684,128287,10397,61285,10227,0.73,0.67,0.05,535,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false,,,,,,,2021-02-03
2021-02-04,CHL,Chile,291937,281301,10636,153253,32118,1.53,1.47,0.06,1680,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false,,,,,,,2021-02-04
2021-02-05,CHL,Chile,569886,556754,13132,277949,71824,2.98,2.91,0.07,3757,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false,,,,,,,2021-02-05
2021-02-06,CHL,Chile,605644,592475,13169,35758,76932,3.17,3.1,0.07,4024,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false,,,,,,,2021-02-06
2021-02-07,CHL,Chile,616757,603588,13169,11113,78030,3.23,3.16,0.07,4082,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false,,,,,,,2021-02-07
2021-02-08,CHL,Chile,796972,776034,20938,180215,103285,4.17,4.06,0.11,5403,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false,,,,,,,2021-02-08
2020-12-15,CHN,China,1500000,1500000,,,,0.1,0.1,,,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2020-12-15
2020-12-16,CHN,China,,,,,187500,,,,130,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2020-12-16
2020-12-17,CHN,China,,,,,187500,,,,130,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2020-12-17
2020-12-18,CHN,China,,,,,187500,,,,130,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2020-12-18
2020-12-19,CHN,China,,,,,187500,,,,130,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2020-12-19
2020-12-20,CHN,China,,,,,187500,,,,130,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2020-12-20
2020-12-21,CHN,China,,,,,187500,,,,130,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2020-12-21
2020-12-22,CHN,China,,,,,187500,,,,130,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2020-12-22
2020-12-23,CHN,China,,,,,187500,,,,130,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2020-12-23
2020-12-24,CHN,China,,,,,187500,,,,130,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2020-12-24
2020-12-25,CHN,China,,,,,187500,,,,130,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2020-12-25
2020-12-26,CHN,China,,,,,187500,,,,130,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2020-12-26
2020-12-27,CHN,China,,,,,187500,,,,130,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2020-12-27
2020-12-28,CHN,China,,,,,187500,,,,130,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2020-12-28
2020-12-29,CHN,China,,,,,187500,,,,130,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2020-12-29
2020-12-30,CHN,China,,,,,187500,,,,130,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2020-12-30
2020-12-31,CHN,China,4500000,4500000,,,187500,0.31,0.31,,130,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2020-12-31
2021-01-01,CHN,China,,,,,232143,,,,161,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2021-01-01
2021-01-02,CHN,China,,,,,276786,,,,192,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2021-01-02
2021-01-03,CHN,China,,,,,321429,,,,223,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2021-01-03
2021-01-04,CHN,China,,,,,366071,,,,254,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2021-01-04
2021-01-05,CHN,China,,,,,410714,,,,285,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2021-01-05
2021-01-06,CHN,China,,,,,455357,,,,316,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2021-01-06
2021-01-07,CHN,China,,,,,500000,,,,347,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2021-01-07
2021-01-08,CHN,China,,,,,500000,,,,347,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2021-01-08
2021-01-09,CHN,China,9000000,9000000,,,500000,0.63,0.63,,347,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2021-01-09
2021-01-10,CHN,China,,,,,464286,,,,323,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2021-01-10
2021-01-11,CHN,China,,,,,428571,,,,298,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2021-01-11
2021-01-12,CHN,China,,,,,392857,,,,273,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2021-01-12
2021-01-13,CHN,China,10000000,10000000,,,357143,0.69,0.69,,248,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2021-01-13
2021-01-14,CHN,China,,,,,387755,,,,269,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2021-01-14
2021-01-15,CHN,China,,,,,418367,,,,291,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2021-01-15
2021-01-16,CHN,China,,,,,448980,,,,312,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2021-01-16
2021-01-17,CHN,China,,,,,515306,,,,358,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2021-01-17
2021-01-18,CHN,China,,,,,581633,,,,404,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2021-01-18
2021-01-19,CHN,China,,,,,647959,,,,450,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2021-01-19
2021-01-20,CHN,China,15000000,15000000,,,714286,1.04,1.04,,496,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2021-01-20
2021-01-21,CHN,China,,,,,770755,,,,535,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2021-01-21
2021-01-22,CHN,China,,,,,827224,,,,575,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2021-01-22
2021-01-23,CHN,China,,,,,883694,,,,614,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2021-01-23
2021-01-24,CHN,China,,,,,940163,,,,653,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2021-01-24
2021-01-25,CHN,China,,,,,996633,,,,692,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2021-01-25
2021-01-26,CHN,China,,,,,1053102,,,,732,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2021-01-26
2021-01-27,CHN,China,22767000,22767000,,,1109571,1.58,1.58,,771,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2021-01-27
2021-01-28,CHN,China,,,,,995097,,,,691,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2021-01-28
2021-01-29,CHN,China,,,,,880622,,,,612,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2021-01-29
2021-01-30,CHN,China,,,,,766148,,,,532,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2021-01-30
2021-01-31,CHN,China,24000000,24000000,,,651673,1.67,1.67,,453,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2021-01-31
2021-02-01,CHN,China,,,,,836020,,,,581,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2021-02-01
2021-02-02,CHN,China,,,,,1020367,,,,709,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2021-02-02
2021-02-03,CHN,China,31200000,31200000,,,1204714,2.17,2.17,,837,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html,,,,,,,2021-02-03
2020-12-24,CRI,Costa Rica,55,,,,,0,,,,Pfizer/BioNTech,National Health Commission,https://twitter.com/CarlosAlvQ/status/1358890771701633025,,,,,,,2020-12-24
2020-12-25,CRI,Costa Rica,,,,,240,,,,47,Pfizer/BioNTech,National Health Commission,https://twitter.com/CarlosAlvQ/status/1358890771701633025,,,,,,,2020-12-25
2020-12-26,CRI,Costa Rica,,,,,240,,,,47,Pfizer/BioNTech,National Health Commission,https://twitter.com/CarlosAlvQ/status/1358890771701633025,,,,,,,2020-12-26
2020-12-27,CRI,Costa Rica,,,,,240,,,,47,Pfizer/BioNTech,National Health Commission,https://twitter.com/CarlosAlvQ/status/1358890771701633025,,,,,,,2020-12-27
2020-12-28,CRI,Costa Rica,,,,,240,,,,47,Pfizer/BioNTech,National Health Commission,https://twitter.com/CarlosAlvQ/status/1358890771701633025,,,,,,,2020-12-28
2020-12-29,CRI,Costa Rica,,,,,240,,,,47,Pfizer/BioNTech,National Health Commission,https://twitter.com/CarlosAlvQ/status/1358890771701633025,,,,,,,2020-12-29
2020-12-30,CRI,Costa Rica,,,,,240,,,,47,Pfizer/BioNTech,National Health Commission,https://twitter.com/CarlosAlvQ/status/1358890771701633025,,,,,,,2020-12-30
2020-12-31,CRI,Costa Rica,,,,,240,,,,47,Pfizer/BioNTech,National Health Commission,https://twitter.com/CarlosAlvQ/status/1358890771701633025,,,,,,,2020-12-31
2021-01-01,CRI,Costa Rica,,,,,240,,,,47,Pfizer/BioNTech,National Health Commission,https://twitter.com/CarlosAlvQ/status/1358890771701633025,,,,,,,2021-01-01
2021-01-02,CRI,Costa Rica,,,,,240,,,,47,Pfizer/BioNTech,National Health Commission,https://twitter.com/CarlosAlvQ/status/1358890771701633025,,,,,,,2021-01-02
2021-01-03,CRI,Costa Rica,2455,,,,240,0.05,,,47,Pfizer/BioNTech,National Health Commission,https://twitter.com/CarlosAlvQ/status/1358890771701633025,,,,,,,2021-01-03
